契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,-0.0007775901755652468,53,178.5
CBF,2002,2000.0,0.001758462649828908,53,19.3
CCF,2303,2000.0,0.0010668872917124084,53,121.5
CDF,2330,2000.0,0.0012332200241530374,53,2374.0
CEF,2881,2000.0,0.0006426972945459508,53,132.5
CFF,1301,2000.0,-0.002989232765068097,53,56.7
CGF,2324,2000.0,0.001103731413848693,53,41.25
CHF,2409,2000.0,-0.008654363264232384,53,24.8
CJF,2880,2000.0,0.0036734726008124737,53,39.45
CKF,2882,2000.0,0.0007391966022815523,53,98.8
CLF,2886,2000.0,0.0029377056340470498,53,46.65
CMF,2887,2000.0,0.0019262972711997044,53,36.65
CNF,2891,2000.0,0.001503501903691269,53,63.8
CQF,1216,2000.0,0.0025809948066428815,53,77.6
CRF,1402,2000.0,0.0008625363185222387,53,29.35
CSF,1605,2000.0,0.001542625047652009,53,38.3
CUF,2323,2000.0,0.005795385839763226,53,10.85
CWF,2352,2000.0,0.0051683475198540645,53,28.9
CXF,2371,2000.0,-0.001193025504442059,53,27.4
CYF,2408,2000.0,0.0015726136470202868,53,500.0
CZF,2603,2000.0,0.0042296498552306175,53,251.0
DAF,2609,2000.0,0.0024443328105996113,53,64.8
DBF,2610,2000.0,0.003575358245840365,53,20.55
DCF,2801,2000.0,0.002246771267139616,52,24.1
DEF,2890,2000.0,0.0024850278554414624,53,38.85
DFF,1101,2000.0,-0.0010158324457171827,53,24.65
DGF,1326,2000.0,-0.0018860212624858075,53,56.9
DHF,2317,2000.0,0.0007353198749267679,53,244.0
DIF,2337,2000.0,0.0030213722193971337,53,123.5
DJF,2357,2000.0,0.002179258176536089,53,926.0
DKF,2382,2000.0,-0.0005260554750318169,53,324.0
DLF,2412,2000.0,-0.001243276660038026,53,136.5
DNF,2884,2000.0,-2.4007787357013862e-05,53,38.15
DOF,2885,2000.0,0.0036062982367203325,53,62.6
DPF,2892,2000.0,0.0002866257466960378,53,33.35
DQF,3481,2000.0,-0.0021613772056378526,53,45.3
DSF,2353,2000.0,0.003224702278632797,53,31.05
DVF,2454,2000.0,0.0012247252308504057,53,3765.0
DWF,2915,2000.0,0.0027294100696965973,52,59.4
DXF,3231,2000.0,0.0037534022330010536,53,175.5
DYF,1102,2000.0,0.0013255504615792928,53,34.85
DZF,1210,2000.0,0.004682522458752483,47,53.0
EEF,1312,2000.0,-0.003673272338783135,53,11.75
EGF,1314,2000.0,0.0022621865564195313,53,7.98
EHF,1319,2000.0,-0.0015479146454994719,53,82.7
EKF,1440,2000.0,-0.0008919551650140724,53,13.7
EMF,1504,2000.0,-0.0015431874711770443,53,70.9
EPF,1590,2000.0,-0.0047059931215750915,43,1424.0
EYF,1718,2000.0,0.004788946949369821,53,10.75
EZF,1722,2000.0,-0.0011866138663675057,51,46.2
FBF,2006,2000.0,0.0037608203313292724,53,82.7
FEF,2027,2000.0,0.003860912015594716,53,51.4
FFF,2049,2000.0,-0.00046906380485164776,53,340.0
FGF,2059,2000.0,-0.0064847082100101365,52,14415.0
FKF,2105,2000.0,0.0010619187397909909,53,31.35
FNF,2201,2000.0,0.0022426846492910216,53,29.15
FQF,2301,2000.0,0.007156993572183512,53,289.5
FRF,2308,2000.0,0.0023079475607350884,53,1730.0
FSF,2312,2000.0,-0.0013811972744665706,53,31.85
FTF,2313,2000.0,0.0012815381249920402,53,210.0
FVF,2331,2000.0,0.0023487501678286908,44,19.65
FWF,2332,2000.0,0.003263651263736968,53,20.4
FYF,2340,2000.0,0.0031459014802270304,53,32.35
FZF,2344,2000.0,0.0013167026718277034,53,177.0
GAF,2347,2000.0,0.0041880337203570464,37,89.1
GCF,2354,2000.0,0.0010044640346446954,53,60.4
GHF,2376,2000.0,-0.002538126645863677,53,339.5
GIF,2377,2000.0,-0.0004579152826772396,53,143.5
GJF,2379,2000.0,-0.003440392918504689,53,718.0
GKF,2385,2000.0,-0.0015723270440251753,12,106.0
GLF,2392,2000.0,0.004101256821117327,53,44.45
GMF,2393,2000.0,-0.0008269035137973435,50,65.1
GNF,2401,2000.0,0.004063654634145846,53,25.2
GOF,2404,2000.0,0.0005426819424748208,50,1072.0
GRF,2449,2000.0,-0.0021284325424451443,53,236.5
GUF,2455,2000.0,0.0036654751010788285,53,383.0
GWF,2458,2000.0,0.0008170736066688278,53,138.5
GXF,2474,2000.0,-0.002722011611255716,53,204.0
GYF,2481,2000.0,-0.0015949712989809003,53,132.5
GZF,2485,2000.0,0.0018726095878675124,53,42.25
HAF,2489,2000.0,0.003474877442189787,53,37.2
HBF,2492,2000.0,0.0019294433620957708,53,263.5
HCF,2498,2000.0,-0.005221274038663645,52,40.4
HHF,2515,2000.0,-0.0019973182510126136,33,12.05
HIF,2520,2000.0,0.0054123764383645365,53,36.95
HLF,2542,2000.0,-0.002048703505403114,53,48.25
HOF,2548,2000.0,-0.001222346425800412,33,96.1
HQF,2605,2000.0,-0.004106566371691541,53,36.4
HSF,2618,2000.0,0.0006578085935488618,53,42.45
IAF,2834,2000.0,0.004225861352567861,49,16.4
IHF,2913,2000.0,0.003438930323265106,53,11.3
IIF,3006,2000.0,0.0032724580174175195,53,283.0
IJF,3008,2000.0,0.0024716506900001193,53,5380.0
IMF,3019,2000.0,-0.0006979801512748077,53,133.0
IOF,3034,2000.0,-1.3579617647073119e-06,52,542.0
IPF,3035,2000.0,0.002402439878495174,52,171.0
IQF,3036,2000.0,0.005173634882207641,53,199.5
IRF,3037,2000.0,0.003551861618079867,53,1073.0
ITF,3042,2000.0,-0.0007082675899833728,53,175.0
IXF,3189,2000.0,0.00261914773684953,53,792.0
IYF,3376,2000.0,0.00412240906184775,53,186.5
IZF,3380,2000.0,-0.0003426858145194483,52,27.0
JBF,3443,2000.0,0.0036833177423684143,53,5350.0
JFF,3533,2000.0,0.005699683042977366,25,1625.0
JMF,3653,2000.0,0.004362543781994437,53,5100.0
JNF,3673,2000.0,-0.002775063564987187,53,62.5
JPF,3702,2000.0,0.002525115935197176,53,110.5
JSF,4938,2000.0,0.0018639662509366312,51,89.0
JWF,5534,2000.0,0.0036276132337779523,51,80.2
JXF,6005,2000.0,0.003326683134174793,53,30.45
JZF,6153,2000.0,0.00460042651739949,42,16.7
KBF,6213,2000.0,0.0032613894914343042,53,486.0
