sid,週期溢價,未平倉市值_百萬,買方OI張,賣方OI張,有資料天數,名稱,溢價排名,倉位排名,打擊名單,高溢價無倉,ADV20張,空方cover,多方cover,空方名單,多方名單
8044,0.021697814691998503,1,6.0,38.0,1,網家,1.0,196.0,False,True,577.7311,0.0658,0.0104,False,False
3529,0.010222777971974961,695,23.0,240.8,3,力旺,2.0,57.0,False,True,1618.6493,0.1488,0.0142,False,False
6510,0.008648226247740967,1061,59.1,301.9,3,精測,3.0,52.0,False,True,1007.3832,0.2997,0.0587,False,False
6526,0.008406611506504676,278,4.0,382.2,3,達發,4.0,80.5,False,True,765.7644499999999,0.4991,0.0052,False,False
6223,0.007352225214741127,1821,15.3,326.1,3,旺矽,5.0,43.0,False,True,1160.06595,0.2811,0.0132,False,False
1590,0.0071625244986555335,81,42.0,64.0,3,亞德客-KY,6.0,116.0,False,True,717.72695,0.0892,0.0585,False,False
2345,0.0070592290401455884,2574,615.4,1392.2,3,智邦,7.0,33.0,False,True,3588.8816,0.3879,0.1715,False,False
2401,0.0069262490689357,6,102.0,210.0,3,凌陽,8.0,183.0,False,True,2086.8625,0.1006,0.0489,False,False
2383,0.006822593905961513,5471,450.3,1106.3,3,台光電,9.0,17.0,True,False,2072.06435,0.5339,0.2173,False,False
6274,0.006645370580034432,8540,804.0,5906.0,3,台燿,10.0,10.0,True,False,7367.3334,0.8016,0.1091,False,False
6257,0.0065947373959748005,957,746.0,3782.0,3,矽格,11.0,53.0,False,True,10917.861550000001,0.3464,0.0683,False,False
4162,0.006592084488109033,1,0.0,18.0,3,智擎,12.0,196.0,False,True,262.81545,0.0685,0.0,False,False
1909,0.006551209286434034,12,24.0,1156.0,3,榮成,13.0,170.0,False,True,2681.0,0.4312,0.009,False,False
3008,0.006453768186985497,15012,349.9,2332.3,3,大立光,14.0,5.0,True,False,2472.8195,0.9432,0.1415,False,False
