契約代碼,sid,契約乘數
CAF,1303,2000.0
CBF,2002,2000.0
CCF,2303,2000.0
CDF,2330,2000.0
CEF,2881,2000.0
CFF,1301,2000.0
CGF,2324,2000.0
CHF,2409,2000.0
CJF,2880,2000.0
CKF,2882,2000.0
CLF,2886,2000.0
CMF,2887,2000.0
CNF,2891,2000.0
CQF,1216,2000.0
CRF,1402,2000.0
CSF,1605,2000.0
CUF,2323,2000.0
CWF,2352,2000.0
CXF,2371,2000.0
CYF,2408,2000.0
CZF,2603,2000.0
DAF,2609,2000.0
DBF,2610,2000.0
DCF,2801,2000.0
DEF,2890,2000.0
DFF,1101,2000.0
DGF,1326,2000.0
DHF,2317,2000.0
DIF,2337,2000.0
DJF,2357,2000.0
DKF,2382,2000.0
DLF,2412,2000.0
DNF,2884,2000.0
DOF,2885,2000.0
DPF,2892,2000.0
DQF,3481,2000.0
DSF,2353,2000.0
DVF,2454,2000.0
DWF,2915,2000.0
DXF,3231,2000.0
DYF,1102,2000.0
DZF,1210,2000.0
EEF,1312,2000.0
EGF,1314,2000.0
EHF,1319,2000.0
EKF,1440,2000.0
EMF,1504,2000.0
EOF,1560,2000.0
EPF,1590,2000.0
EYF,1718,2000.0
EZF,1722,2000.0
FBF,2006,2000.0
FEF,2027,2000.0
FFF,2049,2000.0
FGF,2059,2000.0
FKF,2105,2000.0
FNF,2201,2000.0
FQF,2301,2000.0
FRF,2308,2000.0
FSF,2312,2000.0
FTF,2313,2000.0
FVF,2331,2000.0
FWF,2332,2000.0
FYF,2340,2000.0
FZF,2344,2000.0
GAF,2347,2000.0
GCF,2354,2000.0
GHF,2376,2000.0
GIF,2377,2000.0
GJF,2379,2000.0
GKF,2385,2000.0
GLF,2392,2000.0
GMF,2393,2000.0
GNF,2401,2000.0
GOF,2404,2000.0
GRF,2449,2000.0
GUF,2455,2000.0
GVF,2457,2000.0
GWF,2458,2000.0
GXF,2474,2000.0
GYF,2481,2000.0
GZF,2485,2000.0
HAF,2489,2000.0
HBF,2492,2000.0
HCF,2498,2000.0
HHF,2515,2000.0
HIF,2520,2000.0
HLF,2542,2000.0
HOF,2548,2000.0
HQF,2605,2000.0
HSF,2618,2000.0
IAF,2834,2000.0
IHF,2913,2000.0
IIF,3006,2000.0
IJF,3008,2000.0
IMF,3019,2000.0
IOF,3034,2000.0
IPF,3035,2000.0
IQF,3036,2000.0
IRF,3037,2000.0
ITF,3042,2000.0
IXF,3189,2000.0
IYF,3376,2000.0
IZF,3380,2000.0
JBF,3443,2000.0
JFF,3533,2000.0
JMF,3653,2000.0
JNF,3673,2000.0
JPF,3702,2000.0
JSF,4938,2000.0
JWF,5534,2000.0
JXF,6005,2000.0
JZF,6153,2000.0
KBF,6213,2000.0
KCF,6239,2000.0
KDF,6271,2000.0
KEF,6278,2000.0
KFF,6282,2000.0
KGF,6285,2000.0
KIF,8039,2000.0
KKF,8163,2000.0
KLF,9904,2000.0
KOF,9939,2000.0
KPF,9945,2000.0
KSF,1477,2000.0
KUF,1802,2000.0
KWF,2328,2000.0
LBF,3044,2000.0
LCF,3045,2000.0
LEF,3406,2000.0
LIF,6269,2000.0
LMF,9914,2000.0
LOF,5880,2000.0
LQF,2356,2000.0
